"Name";"DisplayName";"Description";"Group";"Enabled";"Profile";"Platform";"Direction";"Action";"EdgeTraversalPolicy";"LooseSourceMapping";"LocalOnlyMapping";"Owner";"LocalAddress";"RemoteAddress";"Protocol";"LocalPort";"RemotePort";"IcmpType";"DynamicTarget";"Program";"Package";"Service";"InterfaceAlias";"InterfaceType";"LocalUser";"RemoteUser";"RemoteMachine";"Authentication";"Encryption";"OverrideBlockRules"
"{707A7A10-6F49-4B42-A7CC-EAEC358C75CB}";"Networking - Destination Unreachable (ICMPv4-Out)";"Destination Unreachable error messages are sent from any node that a packet traverses which is unable to forward the packet for any reason except congestion.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"3";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{80C3F5F5-AA8E-4099-B95E-8A0BDC499F85}";"Core Networking - Destination Unreachable (ICMPv6-Out)";"Destination Unreachable error messages are sent from any node that a packet traverses which is unable to forward the packet for any reason except congestion.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"1";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{F47B0037-4C7C-46FC-BA71-B28CC2E3D2A3}";"Networking - Redirect (ICMPv4-In)";"Redirect messages are sent to indicate that the node which the packet was sent to is no longer the best gateway to reach the network in question.";;"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"5";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{9448FA04-E2F2-40F8-9710-BF46C675ECD1}";"Networking - Redirect (ICMPv4-Out)";"Redirect messages are sent to indicate that the node which the packet was sent to is no longer the best gateway to reach the network in question.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"5";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{6B95E692-49EE-43B0-A1C0-534F53B7549B}";"Networking - Redirect (ICMPv6-In)";"Redirect messages are sent to indicate that the node which the packet was sent to is no longer the best gateway to reach the network in question.";;"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"137";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{7BBA7353-83E0-4757-9432-BD1CFC7B8C0F}";"Networking - Redirect (ICMPv6-Out)";"Redirect messages are sent to indicate that the node which the packet was sent to is no longer the best gateway to reach the network in question.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"137";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{7AFB642D-3563-4486-B300-D3C7F8795653}";"Networking - Echo Request (ICMPv4-In)";"Echo Request messages are sent as ping requests to other nodes.";;"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"8";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{F1062FB6-29F4-4A89-BDE6-537C78EBFE09}";"Networking - Echo Request (ICMPv6-In)";"Echo Request messages are sent as ping requests to other nodes.";;"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"128";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{CD5D976F-E20A-4390-ABBA-21778FA51F06}";"Networking - Time Exceeded (ICMPv4-Out)";"Time Exceeded error messages are generated from any node which a packet traverses if the Hop Limit value is decremented to zero at any point on the path.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"11";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{FAA23932-8DCE-4763-8922-0D0925DA3F6D}";"Core Networking - Time Exceeded (ICMPv6-Out)";"Time Exceeded error messages are generated from any node that a packet traverses if the Hop Limit value is decremented to zero at any point on the path.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"3";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{59B4ECF1-65A0-4F66-BDEB-7EA9B72E7415}";"Networking - Parameter Problem (ICMPv4-Out)";"Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"12";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{A49D753F-0548-465A-82A8-F9DB365573AC}";"Core Networking - Parameter Problem (ICMPv6-Out)";"Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"4";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{2293284B-E28C-4D6E-8A79-9A7812705742}";"Networking - Source Quench (ICMPv4-Out)";"Source Quench messages are sent from any node that a packet traverses which discards the datagram because they are arriving too fast or there are buffering issues.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"4";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{513347ED-2EA0-442E-96EE-C91148B8BC89}";"Networking - Router Solicitation (ICMPv4-In)";"Router Solicitation messages are sent by nodes seeking routers to provide stateless auto-configuration.";;"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"9";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{2C1B5AE6-6AD3-4630-B0AB-A908F7DCF430}";"Networking - Timestamp Request (ICMPv4-In)";"Timestamp Request messages are sent by nodes who wish to obtain the current timestamp from another node.";;"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"13";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{CE7CE3A1-7ABB-4F6E-85CC-9D1F28FF36E4}";"Networking - Address Mask Request (ICMPv4-In)";"Address Mask Request messages are sent by nodes who wish to obtain the subnet mask for their assigned address.";;"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"17";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{C76A07BB-6138-42F2-B1C7-5F26AF4AF1B4}";"Core Networking - Packet Too Big (ICMPv6-Out)";"Packet Too Big error messages are sent from any node that a packet traverses which is unable to forward the packet because the packet is too large for the next link.";;"True";"Domain";"";"Outbound";"Block";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"2";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{8745907C-5C9B-479B-B0D4-CAFD1256CE14}";"Remote Desktop";;"@FirewallAPI.dll,-28752";"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"3389";"Any";"Any";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{E17A32E9-AD7A-40CB-A8FE-55B0989970ED}";"Remote Administration (RPC)";"Inbound rule for all services to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-29752";"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"*";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{D64D3288-1B7E-4DAF-BF5A-9CAA4C0EABEC}";"Remote Administration (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for all the local services.";"@FirewallAPI.dll,-29752";"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"TCP";"135";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{D7A48EB4-25E5-4A32-92C3-83EACBB9DC30}";"Remote Administration (NP-In)";"Inbound rule for all services to be remotely managed over Named Pipes.";"@FirewallAPI.dll,-29752";"True";"Domain";"";"Inbound";"Block";"Block";"False";"False";;"Any";"Any";"TCP";"445";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"{302BACD0-765C-4B51-ABF7-DC0B95B73D6A}";"Spiceworks Monitoring/Inventory";"Allows all communications from IPSWICH.";;"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"10.64.9.31";"Any";"Any";"Any";"Any";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"vm-monitoring-dcom";"Virtual Machine Monitoring (DCOM-In)";"Allow DCOM traffic for remote Windows Management Instrumentation.";"@icsvc.dll,-700";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"135";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"RpcSs";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"vm-monitoring-icmpv4";"Virtual Machine Monitoring (Echo Request - ICMPv4-In)";"Echo Request messages are sent as ping requests to other nodes.";"@icsvc.dll,-700";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv4";"Any";"Any";"Any";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"vm-monitoring-icmpv6";"Virtual Machine Monitoring (Echo Request - ICMPv6-In)";"Echo Request messages are sent as ping requests to other nodes.";"@icsvc.dll,-700";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"Any";"Any";"Any";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"vm-monitoring-nb-session";"Virtual Machine Monitoring (NB-Session-In)";"Allow NetBIOS Session Service connections.";"@icsvc.dll,-700";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"139";"Any";"Any";"Any";"Any";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"vm-monitoring-rpc";"Virtual Machine Monitoring (RPC)";"Allow Task Scheduler service to be remotely managed via RPC/TCP.";"@icsvc.dll,-700";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"Schedule";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMP-In-UDP-x86";"Windows Media Player x86 (UDP-In)";"Inbound rule for Windows Media Player to allow UDP Media Streaming. [UDP]";"@FirewallAPI.dll,-31002";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";"Any";"%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMP-Out-UDP-x86";"Windows Media Player x86 (UDP-Out)";"Outbound rule for Windows Media Player to allow UDP Media Streaming. [UDP]";"@FirewallAPI.dll,-31002";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";"Any";"%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMP-Out-TCP-x86";"Windows Media Player x86 (TCP-Out)";"Outbound rule for Windows Media Player to allow TCP/HTTP Media Streaming. [TCP]";"@FirewallAPI.dll,-31002";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";"Any";"%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
